Title,product_id,ISSN print,ISSN electronic,Imprint,"Primary Language",Open Access,Comment,License,standard workflow July 18,"Production Editor"
"Current Clinical MicrobiologyReports",40588,,2196-5471,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cataylo, Arlie"
Current Colorectal Cancer Reports,11888,,1556-3804,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nieves, JonaRose Delos"
Current Dermatology Reports,13671,,2162-4933,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bascon, Yvette"
"Current Developmental DisordersReports",40474,,2196-2987,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Estela, Noriel"
Current Diabetes Reports,11892,,1539-0829,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Panday,Leonora"
"Current Emergency and HospitalMedicine Reports",40138,,2167-4884,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cataylo, Arlie"
"Current Environmental HealthReports",40572,,2196-5412,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cataylo, Arlie"
Current Epidemiology Reports,40471,,2196-2995,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Estela, Noriel"
Current Forestry Reports,40725,,2198-6436,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Duning,Renante"
Current Fungal Infection Reports,12281,,1936-377X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nieves, JonaRose Delos"
Current Gastroenterology Reports,11894,,1534-312X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nieves, JonaRose Delos"
Current Genetic Medicine Reports,40142,,2167-4876,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Icamen, EuricaMae"
Current Genetics,294,0172-8083,1432-0983,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rajendran,Thangeswari"
Current Geriatrics Reports,13670,,2196-7865,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bascon, Yvette"
Current Heart Failure Reports,11897,,1546-9549,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Asejo, Aila"
"Current Hematologic MalignancyReports",11899,,1558-822X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nieves, JonaRose Delos"
Current HIV/AIDS Reports,11904,,1548-3576,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Panday,Leonora"
Current Hypertension Reports,11906,,1534-3111,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gerona, Razel"
"Current Infectious DiseaseReports",11908,,1534-3146,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gerona, Razel"
"Current Landscape EcologyReports",40823,,2364-494X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Icamen, EuricaMae"
Current Microbiology,284,0343-8651,1432-0991,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Devakumar,Radika"
"Current Molecular BiologyReports",40610,,2198-6428,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Icamen, EuricaMae"
"Current Neurology andNeuroscience Reports",11910,,1534-6293,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Asejo, Aila"
Current Nutrition Reports,13668,,2161-3311,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bascon, Yvette"
Current Obesity Reports,13679,,2162-4968,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bascon, Yvette"
"Current Obstetrics andGynecology Reports",13669,,2161-3303,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bascon, Yvette"
Current Oncology Reports,11912,,1534-6269,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Panday,Leonora"
Current Ophthalmology Reports,40135,,2167-4868,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Estela, Noriel"
Current Oral Health Reports,40496,,2196-3002,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Estela, Noriel"
Current Osteoporosis Reports,11914,,1544-2241,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pis-an, MariaCathelyn"
"Current OtorhinolaryngologyReports",40136,,2167-583X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cataylo, Arlie"
"Current Pain and HeadacheReports",11916,,1534-3081,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gerona, Razel"
Current Pathobiology Reports,40139,,2167-485X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Duning,Renante"
Current Pediatrics Reports,40124,,2167-4841,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Estela, Noriel"
Current Pharmacology Reports,40495,,2198-641X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Duning,Renante"
"Current Physical Medicine andRehabilitation Reports",40141,,2167-4833,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Icamen, EuricaMae"
Current Pollution Reports,40726,,2198-6592,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Icamen, EuricaMae"
Current Psychiatry Reports,11920,,1535-1645,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gramatica,Rosario"
Current Psychology,12144,1046-1310,1936-4733,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Janguin, Emilie"
Current Pulmonology Reports,13665,,2199-2428,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bascon, Yvette"
Current Radiology Reports,40134,,2167-4825,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Baskaran,Jeevitha"
"Current Reviews inMusculoskeletal Medicine",12178,,1935-9748,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pis-an, MariaCathelyn"
Current Rheumatology Reports,11926,,1534-6307,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nieves, JonaRose Delos"
Current Sexual Health Reports,11930,,1548-3592,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Estela, Noriel"
Current Sleep Medicine Reports,40675,,2198-6401,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Icamen, EuricaMae"
Current Stem Cell Reports,40778,,2198-7866,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Icamen, EuricaMae"
Current Surgery Reports,40137,,2167-4817,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Inbasigamoni,Velmuguran"
"Current Sustainable/RenewableEnergy Reports",40518,,2196-3010,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cataylo, Arlie"
Current Transplantation Reports,40472,,2196-3029,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Estela, Noriel"
Current Trauma Reports,40719,,2198-6096,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Icamen, EuricaMae"
"Current Treatment Options inAllergy",40521,,2196-3053,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cataylo, Arlie"
"Current Treatment Options inCardiovascular Medicine",11936,,1534-3189,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gramatica,Rosario"
"Current Treatment Options inGastroenterology",11938,,1534-309X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Estela, Noriel"
"Current Treatment Options inInfectious Diseases",40506,,1534-6250,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cataylo, Arlie"
"Current Treatment Options inNeurology",11940,,1534-3138,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gramatica,Rosario"
"Current Treatment Options inPediatrics",40746,,2198-6088,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Duning,Renante"
"Current Treatment Options inPsychiatry",40501,,2196-3061,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cataylo, Arlie"
"Current Treatment Options inRheumatology",40674,,2198-6002,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Duning,Renante"
"Current Tropical MedicineReports",40475,,2196-3045,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Cataylo, Arlie"
Current Urology Reports,11934,,1534-6285,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pis-an, MariaCathelyn"
Curriculum Perspectives,41297,0159-7868,2367-1793,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vloemans,Hermine"
Customer Needs and Solutions,40547,2196-291X,2196-2928,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Estela, Noriel"
Cytotechnology,10616,0920-9069,1573-0778,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Arcot,Shrivatsan"
Dao,11712,1540-3009,1569-7274,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Macajelos, Juvy"
"DARU Journal of PharmaceuticalSciences",40199,,2008-2231,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rentmeester,Esther"
"Data Mining and KnowledgeDiscovery",10618,1384-5810,1573-756X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Chandrasekar,Priya"
"Data-Enabled Discovery andApplications",41688,,2510-1161,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Triner, Annette"
Datenbank-Spektrum,13222,1618-2162,1610-1995,Springer,German,Hybrid (Open Choice),,CC BY,standard,"Uhl, Beate"
De Economist,10645,0013-063X,1572-9982,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fathima,Jasmine"
DECISION,40622,0304-0941,2197-1722,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nair, Abilash"
"Decisions in Economics andFinance",10203,1593-8883,1129-6569,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Govindaswamy,Muralidaran"
Demography,13524,0070-3370,1533-7790,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weaver, Janice"
"Design Automation for EmbeddedSystems",10617,0929-5585,1572-8080,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Selvaraj, Devi"
"Designs, Codes and Cryptography",10623,0925-1022,1573-7586,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sathish, Malathi"
"Deutsche Vierteljahrsschrift fürLiteraturwissenschaft undGeistesgeschichte",41245,0012-0936,2365-9521,J.B. Metzler,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Vogel, Andreas"
"Deutsche Zeitschrift fürAkupunktur",42212,0415-6412,1439-4359,SpringerMedizin,German,Hybrid (Open Choice),Take-over in 2018.,CC BY,eOffprint sent; non-standard PRS:,"Kehl, Claudia"
"Development Genes andEvolution",427,0949-944X,1432-041X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Chavez, Shiela"
Der Diabetologe,11428,1860-9716,1860-9724,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Goesling,Andreas"
Diabetologia,125,0012-186X,1432-0428,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Goesling,Andreas"
Dialectical Anthropology,10624,0304-4092,1573-0786,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pinero, Marlon"
"Differential Equations andDynamical Systems",12591,0971-3514,0974-6870,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Muthulakshmi,S."
Digestive Diseases and Sciences,10620,0163-2116,1573-2568,Springer,English,Hybrid (Open Choice),,CC BY-NC,standard,"Baskaran,Jeevitha"
"Digital Experiences inMathematics Education",40751,2199-3246,2199-3254,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Langlois, James"
"Discrete & ComputationalGeometry",454,0179-5376,1432-0444,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Maged, Robert"
Discrete Event Dynamic Systems,10626,0924-6703,1573-7594,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nieves, JonaRose Delos"
Distributed Computing,446,0178-2770,1432-0452,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Shanmugam,Revathi"
"Distributed and ParallelDatabases",10619,0926-8782,1573-7578,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vedachalam,Hemalatha"
Documenta Ophthalmologica,10633,0012-4486,1573-2622,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Selvaraj,Ambiga"
"Drug Delivery and TranslationalResearch",13346,2190-393X,2190-3948,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Borgenicht, Jodi"
Drug Safety,40264,0114-5916,1179-1942,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Shanmugam,Revathi"
Drugs,40265,0012-6667,1179-1950,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Pappichetty,Jayaprakash"
Drugs & Aging,40266,1170-229X,1179-1969,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Thiagaraj,Pressila"
Drugs & Therapy Perspectives,40267,1172-0360,1179-1977,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Pappichetty,Jayaprakash"
Dynamic Games and Applications,13235,2153-0785,2153-0793,Birkhäuser,English,Hybrid (Open Choice),,CC BY,standard,"Vedachalam,Hemalatha"
Dysphagia,455,0179-051X,1432-0460,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Shenbagam, S."
Early Childhood Education Journal,10643,1082-3301,1573-1707,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pesala,Nandhini"
"Earth, Moon, and Planets",11038,0167-9295,1573-0794,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fathima,Jasmine"
Earth Science Informatics,12145,1865-0473,1865-0481,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bajar, Mar-Jhon"
Earth Systems and Environment,41748,2509-9426,2509-9434,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Daum, Jutta"
East Asia,12140,1096-6838,1874-6284,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mercullo,Kenneth"
"Eating and Weight Disorders -Studies on Anorexia, Bulimia andObesity",40519,,1590-1262,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bala, Senthil"
EcoHealth,10393,1612-9202,1612-9210,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weaver, Janice"
Ecological Research,11284,0912-3814,1440-1703,Springer,English,Hybrid (Open Choice),"No longer published bySpringerNature as of completionof Vol. 33 (2018).",CC BY,standard,"Babu,Saravanan"
Economia Politica,40888,1120-2890,1973-820X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Wieland, Bernd"
"Journal of Industrial and BusinessEconomics",40812,0391-2078,,Springer,English,Hybrid (Open Choice),"Title Change. Prior to Vol. 46(2019) published as Economia ePolitica Industriale.",CC BY,standard,"Wieland, Bernd"
Economic Botany,12231,0013-0001,1874-9364,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weaver, Janice"
"Economic Change andRestructuring",10644,1573-9414,1574-0277,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dharmalingam,Shivaraman"
Economic Theory,199,0938-2259,1432-0479,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramanathan,Elangovan"
Economic Theory Bulletin,40505,,2196-1093,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramanathan,Elangovan"
"Economics of Disasters andClimate Change",41885,2511-1280,2511-1299,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rentmeester,Esther"
Economics of Governance,10101,1435-6104,1435-8131,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramanathan,Elangovan"
Ecosystems,10021,1432-9840,1435-0629,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Davis, Jeff"
Ecotoxicology,10646,0963-9292,1573-3017,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nagaraj, Govind"
"Education and InformationTechnologies",10639,1360-2357,1573-7608,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gramatica,Rosario"
"Educational Assessment,Evaluation and Accountability",11092,1874-8597,1874-8600,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Torres, Jurgen"
Educational Psychology Review,10648,1040-726X,1573-336X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Alejo, Mildred"
"Educational Research for Policyand Practice",10671,1570-2081,1573-1723,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Manoharan,Suganya"
"Educational Studies inMathematics",10649,0013-1954,1573-0816,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Parcon, Jennyca"
"Educational Technology Researchand Development",11423,1042-1629,1556-6501,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Seidenfeld,David"
Electrical Engineering,202,0948-7921,1432-0487,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Reddy, Srikanth"
Electrocatalysis,12678,1868-2529,1868-5994,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gargar, MaryJane"
Electrochemical Energy Reviews,41918,2520-8489,2520-8136,"Shanghai University, co-publishedwith Springer",English,Hybrid (Open Choice),New Start in 2018.,CC BY,standard,"Daum, Jutta"
Electronic Commerce Research,10660,1389-5753,1572-9362,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Fathima,Jasmine"
Electronic Markets,12525,1019-6781,1422-8890,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Marabillo,Annalyn"
Electronic Materials Letters,13391,1738-8090,2093-6788,"The Korean Institute of Metalsand Materials, co-published withSpringer",English,Hybrid (Open Choice),,CC BY,standard,"Dilger, Julia"
Emergency Radiology,10140,1070-3004,1438-1435,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pinero, Marlon"
Emergent Materials,42247,2522-5731,2522-574X,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,standard,"Dimler, Gertrud"
"Emission Control Science andTechnology",40825,2199-3629,2199-3637,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Estela, Noriel"
Empirica,10663,0340-8744,1573-6911,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramanathan,Elangovan"
Empirical Economics,181,0377-7332,1435-8921,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Manoharan,Suganya"
Empirical Software Engineering,10664,1382-3256,1573-7616,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nieves, JonaRose Delos"
"Employee Responsibilities andRights Journal",10672,0892-7545,1573-3378,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gramatica,Rosario"
Endocrine Pathology,12022,1046-3976,1559-0097,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Gerona, Razel"
"Energy, Ecology and Environment",40974,,2363-8338,"Joint Center on Global Changeand Earth System Science of theUniversity of Maryland andBeijing Normal University, co-published with Springer",English,Hybrid (Open Choice),,CC BY,standard,"Ganesan,Remya"
Energy Efficiency,12053,1570-646X,1570-6478,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mercullo,Kenneth"
Energy Systems,12667,1868-3967,1868-3975,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weigel, Thomas"
Engineering with Computers,366,0177-0667,1435-5663,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Reddy, Srikanth"
English Teaching & Learning,42321,1023-7267,2522-8560,Springer,English,Hybrid (Open Choice),Take-over in 2018.,CC BY,standard,"Rentmeester,Esther"
Entrepreneurship Education,41959,2520-8144,2520-8152,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,standard,"Gotzmann,Volker"
"Environment, Development andSustainability",10668,1387-585X,1573-2975,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Parasuraman,Baskaran"
"Environment Systems andDecisions",10669,2194-5403,2194-5411,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Panneerselvam,Prathap"
Environmental Biology of Fishes,10641,0378-1909,1573-5133,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Parcon, Jennyca"
Environmental Chemistry Letters,10311,1610-3653,1610-3661,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Faber,Meertinus"
Environmental Earth Sciences,12665,1866-6280,1866-6299,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Reddy, Srikanth"
"Environmental and EcologicalStatistics",10651,1352-8505,1573-3009,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sathish, Malathi"
"Environmental Economics andPolicy Studies",10018,1432-847X,1867-383X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Stella, Angeline"
Environmental Fluid Mechanics,10652,1567-7419,1573-1510,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Selvaraj, Devi"
"Environmental Geochemistry andHealth",10653,0269-4042,1573-2983,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Govindaraju,Karthick"
Environmental Management,267,0364-152X,1432-1009,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Nagaraj, Govind"
"Environmental Modeling &Assessment",10666,1420-2026,1573-2967,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Boy Cutamora,Barney"
"Environmental Monitoring andAssessment",10661,0167-6369,1573-2959,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Jolbot, Michelle"
Environmental Processes,40710,2198-7491,2198-7505,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mercullo,Kenneth"
"Environmental and ResourceEconomics",10640,0924-6460,1573-1502,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Franco, Frank"
"Environmental Science andPollution Research",11356,0944-1344,1614-7499,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Villahermosa,Dennis"
Environmental Sustainability,42398,,2523-8922,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,standard,"Hart, Kerstin"
EPMA Journal,13167,1878-5077,1878-5085,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Rentmeester,Esther"
ERA Forum,12027,1612-3093,1863-9038,Springer,English,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Vogel, Andreas"
Erkenntnis,10670,0165-0106,1572-8420,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Arcot,Shrivatsan"
Erwerbs-Obstbau,10341,0014-0309,1439-0302,Springer,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Häseler,Angelika"
Esophagus,10388,1612-9059,1612-9067,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Stella, Angeline"
Estuaries and Coasts,12237,1559-2723,1559-2731,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Borgenicht, Jodi"
Ethical Theory and Moral Practice,10677,1386-2820,1572-8447,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Macajelos, Juvy"
"Ethics and InformationTechnology",10676,1388-1957,1572-8439,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Govindaraju,Karthick"
Ethik in der Medizin,481,0935-7335,1437-1618,Springer,German,Hybrid (Open Choice),,CC BY,eOffprint sent; non-standard PRS:,"Muenzenmayer,Klaus"
Euphytica,10681,0014-2336,1573-5060,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pieren, Eric"
Eurasian Business Review,40821,,2147-4281,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dilger, Julia"
Eurasian Economic Review,40822,,2147-429X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dilger, Julia"
"EURO Journal on ComputationalOptimization",13675,2192-4406,2192-4414,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Weigel, Thomas"
"EURO Journal on DecisionProcesses",40070,2193-9438,2193-9446,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ahmed, Sadat"
"Euro-Mediterranean Journal forEnvironmental Integration",41207,2365-6433,2365-7448,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dimler, Gertrud"
European Actuarial Journal,13385,2190-9733,2190-9741,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dharmalingam,Shivaraman"
"European Archives of Oto-Rhino-Laryngology",405,0937-4477,1434-4726,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dharmalingam,Shivaraman"
"European Archives of PaediatricDentistry",40368,1818-6300,1996-9805,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Roseveare,David"
"European Archives of Psychiatryand Clinical Neuroscience",406,0940-1334,1433-8491,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Pappichetty,Jayaprakash"
European Biophysics Journal,249,0175-7571,1432-1017,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Ramanathan,Elangovan"
"European Business OrganizationLaw Review",40804,1566-7529,1741-6205,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Vogel, Andreas"
"European Child & AdolescentPsychiatry",787,1018-8827,1435-165X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Verma, Priya"
"European Food Research andTechnology",217,1438-2377,1438-2385,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Verma, Priya"
European Geriatric Medicine,41999,,1878-7657,Springer,English,Hybrid (Open Choice),Take-over in 2018.,CC BY,standard,"Jung, Amelie"
European Journal of Ageing,10433,1613-9372,1613-9380,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Arcot,Shrivatsan"
"European Journal of AppliedPhysiology",421,1439-6319,1439-6327,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sureshkumar,Deepika"
"European Journal of ClinicalMicrobiology & InfectiousDiseases",10096,0934-9723,1435-4373,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Chavez, Shiela"
"European Journal of ClinicalPharmacology",228,0031-6970,1432-1041,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Villahermosa,Dennis"
"European Journal on CriminalPolicy and Research",10610,0928-1371,1572-9869,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Villahermosa,Aimee"
"European Journal of DrugMetabolism andPharmacokinetics",13318,0378-7966,2107-0180,Adis,English,Hybrid (Open Choice),,CC BY-NC,standard,"Singh, Albert"
European Journal of Epidemiology,10654,0393-2990,1573-7284,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Somasundaram,Aravind"
"European Journal of ForestResearch",10342,1612-4669,1612-4677,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Somasundaram,Aravind"
"The European Journal of HealthEconomics",10198,1618-7598,1618-7601,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Govindaswamy,Muralidaran"
"European Journal of Law andEconomics",10657,0929-1261,1572-9990,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Mani, Lavanya"
European Journal of Mathematics,40879,2199-675X,2199-6768,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Seidenfeld,David"
"European Journal of NuclearMedicine and Molecular Imaging",259,1619-7070,1619-7089,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Badon,Journaliz"
European Journal of Nutrition,394,1436-6207,1436-6215,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Chinnasamy,Sathishkumar"
"European Journal of OrthopaedicSurgery & Traumatology",590,,1432-1068,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Sundaram,Anburaj"
European Journal of Pediatrics,431,0340-6199,1432-1076,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Bajar, Mar-Jhon"
"European Journal for Philosophyof Science",13194,,1879-4920,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Parcon, Jennyca"
"European Journal of PlantPathology",10658,0929-1873,1573-8469,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dixit, Amit"
"European Journal of PlasticSurgery",238,0930-343X,1435-0130,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Badon,Journaliz"
European Journal of Population,10680,0168-6577,1572-9885,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Klijn, Marielle"
"European Journal of Psychologyof Education",10212,0256-2928,1878-5174,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Macajelos, Juvy"
"European Journal for SecurityResearch",41125,2365-0931,2365-1695,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Dilger, Julia"
"European Journal of Trauma andEmergency Surgery",68,1863-9933,1863-9941,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Muenzenmayer,Klaus"
"European Journal of WildlifeResearch",10344,1612-4642,1439-0574,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Badon,Journaliz"
"European Journal of Wood andWood Products",107,0018-3768,1436-736X,Springer,English,Hybrid (Open Choice),,CC BY,standard,"Kuebler, Andrea"
The European Physical Journal A,10050,1434-6001,1434-601X,Springer,English,Hybrid (Open Choice),,CC BY,non-standard,"Schüller,Bernhard"
The European Physical Journal D,10053,1434-6060,1434-6079,Springer,English,Hybrid (Open Choice),,CC BY,non-standard,"Schüller,Bernhard"
