Title,product_id,ISSN print,ISSN electronic,Imprint,"Primary Language",Open Access,Comment,License,Main discipline,"Production Editor"
"Current Treatment Options in Infectious Diseases",40506,,1534-6250,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Cataylo, Arlie"
"Current Treatment Options in Oncology",11864,,1534-6277,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Nieves, Jona Rose Delos"
"Current Treatment Options in Pediatrics",40746,,2198-6088,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Duning, Renante"
"Current Treatment Options in Psychiatry",40501,,2196-3061,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Cataylo, Arlie"
"Current Treatment Options in Rheumatology",40674,,2198-6002,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Duning, Renante"
"Current Tropical Medicine Reports",40475,,2196-3045,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Cataylo, Arlie"
Current Urology Reports,11934,,1534-6285,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Pis-an, Maria Cathelyn"
Curriculum Perspectives,41297,0159-7868,2367-1793,Springer,English,Hybrid (Open Choice),,CC BY,Education,"Vloemans, Hermine"
Customer Needs and Solutions,40547,2196-291X,2196-2928,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Estela, Noriel"
Cytotechnology,10616,0920-9069,1573-0778,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Arcot, Shrivatsan"
Dao,11712,1540-3009,1569-7274,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Macajelos, Juvy"
"DARU Journal of Pharmaceutical Sciences",40199,,2008-2231,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Rentmeester, Esther"
"Data Mining and Knowledge Discovery",10618,1384-5810,1573-756X,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Chandrasekar, Priya"
"Data-Enabled Discovery and Applications",41688,,2510-1161,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Triner, Annette"
Datenbank-Spektrum,13222,1618-2162,1610-1995,Springer,German,Hybrid (Open Choice),,CC BY,"Computer Science","Uhl, Beate"
De Economist,10645,0013-063X,1572-9982,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Fathima, Jasmine"
DECISION,40622,0304-0941,2197-1722,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Nair, Abilash"
"Decisions in Economics and Finance",10203,1593-8883,1129-6569,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Govindaswamy, Muralidaran"
Demography,13524,0070-3370,1533-7790,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Weaver, Janice"
"Design Automation for Embedded Systems",10617,0929-5585,1572-8080,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Selvaraj, Devi"
"Designs, Codes and Cryptography",10623,0925-1022,1573-7586,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Sathish, Malathi"
"Deutsche Vierteljahrsschrift für Literaturwissenschaft und Geistesgeschichte",41245,0012-0936,2365-9521,J.B. Metzler,German,Hybrid (Open Choice),,CC BY,Literature,"Vogel, Andreas"
"Deutsche Zeitschrift für Akupunktur",42212,0415-6412,1439-4359,SpringerMedizin,German,Hybrid (Open Choice),Take-over in 2018.,CC BY,"Medicine & Public Health","Kehl, Claudia"
"Development Genes and Evolution",427,0949-944X,1432-041X,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Chavez, Shiela"
Der Diabetologe,11428,1860-9716,1860-9724,SpringerMedizin,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Goesling, Andreas"
Diabetologia,125,0012-186X,1432-0428,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Goesling, Andreas"
Dialectical Anthropology,10624,0304-4092,1573-0786,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Pinero, Marlon"
"Differential Equations and Dynamical Systems",12591,0971-3514,0974-6870,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Muthulakshmi, S."
"Digital Experiences in Mathematics Education",40751,2199-3246,2199-3254,Springer,English,Hybrid (Open Choice),,CC BY,Education,"Langlois, James"
"Discrete & Computational Geometry",454,0179-5376,1432-0444,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Maged, Robert"
Discrete Event Dynamic Systems,10626,0924-6703,1573-7594,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Nieves, Jona Rose Delos"
Distributed Computing,446,0178-2770,1432-0452,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Shanmugam, Revathi"
"Distributed and Parallel Databases",10619,0926-8782,1573-7578,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Vedachalam, Hemalatha"
Documenta Ophthalmologica,10633,0012-4486,1573-2622,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Selvaraj, Ambiga"
"Drug Delivery and Translational Research",13346,2190-393X,2190-3948,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Borgenicht, Jodi"
Dynamic Games and Applications,13235,2153-0785,2153-0793,Birkhäuser,English,Hybrid (Open Choice),,CC BY,Mathematics,"Vedachalam, Hemalatha"
"e & i Elektrotechnik und Informationstechnik",502,0932-383X,1613-7620,Springer,German,Hybrid (Open Choice),,CC BY,Engineering,"Leader, Marion"
Early Childhood Education Journal,10643,1082-3301,1573-1707,Springer,English,Hybrid (Open Choice),,CC BY,Education,"Pesala, Nandhini"
"Earth, Moon, and Planets",11038,0167-9295,1573-0794,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Fathima, Jasmine"
Earth Science Informatics,12145,1865-0473,1865-0481,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Bajar, Mar-Jhon"
Earth Systems and Environment,41748,2509-9426,2509-9434,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Daum, Jutta"
East Asia,12140,1096-6838,1874-6284,Springer,English,Hybrid (Open Choice),,CC BY,"Political Science and International Relations","Mercullo, Kenneth"
"Eating and Weight Disorders - Studies on Anorexia, Bulimia and Obesity",40519,,1590-1262,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Bala, Senthil"
EcoHealth,10393,1612-9202,1612-9210,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Weaver, Janice"
Ecological Research,11284,0912-3814,1440-1703,Springer,English,Hybrid (Open Choice),"No longer published by SpringerNature as of completion of Vol. 33 (2018).",CC BY,Life Sciences,"Babu, Saravanan"
Economia Politica,40888,1120-2890,1973-820X,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Wieland, Bernd"
"Journal of Industrial and Business Economics",40812,0391-2078,,Springer,English,Hybrid (Open Choice),"Title Change. Prior to Vol. 46 (2019) published as Economia e Politica Industriale.",CC BY,Economics,"Wieland, Bernd"
Economic Botany,12231,0013-0001,1874-9364,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Weaver, Janice"
"Economic Change and Restructuring",10644,1573-9414,1574-0277,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Dharmalingam, Shivaraman"
Economic Theory,199,0938-2259,1432-0479,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Ramanathan, Elangovan"
Economic Theory Bulletin,40505,,2196-1093,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Ramanathan, Elangovan"
"Economics of Disasters and Climate Change",41885,2511-1280,2511-1299,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Rentmeester, Esther"
Economics of Governance,10101,1435-6104,1435-8131,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Ramanathan, Elangovan"
Ecosystems,10021,1432-9840,1435-0629,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Davis, Jeff"
Ecotoxicology,10646,0963-9292,1573-3017,Springer,English,Hybrid (Open Choice),,CC BY,Environment,"Nagaraj, Govind"
"Education and Information Technologies",10639,1360-2357,1573-7608,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Gramatica, Rosario"
"Educational Assessment, Evaluation and Accountability",11092,1874-8597,1874-8600,Springer,English,Hybrid (Open Choice),,CC BY,Education,"Torres, Jurgen"
Educational Psychology Review,10648,1040-726X,1573-336X,Springer,English,Hybrid (Open Choice),,CC BY,Education,"Alejo, Mildred"
"Educational Research for Policy and Practice",10671,1570-2081,1573-1723,Springer,English,Hybrid (Open Choice),,CC BY,Education,"Manoharan, Suganya"
"Educational Studies in Mathematics",10649,0013-1954,1573-0816,Springer,English,Hybrid (Open Choice),,CC BY,Education,"Parcon, Jennyca"
"Educational Technology Research and Development",11423,1042-1629,1556-6501,Springer,English,Hybrid (Open Choice),,CC BY,Education,"Seidenfeld, David"
Electrical Engineering,202,0948-7921,1432-0487,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Reddy, Srikanth"
Electrocatalysis,12678,1868-2529,1868-5994,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Gargar, Mary Jane"
Electrochemical Energy Reviews,41918,2520-8489,2520-8136,"Shanghai University, co-published with Springer",English,Hybrid (Open Choice),New Start in 2018.,CC BY,Chemistry,"Daum, Jutta"
Electronic Commerce Research,10660,1389-5753,1572-9362,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Fathima, Jasmine"
Electronic Markets,12525,1019-6781,1422-8890,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Marabillo, Annalyn"
Electronic Materials Letters,13391,1738-8090,2093-6788,"The Korean Institute of Metals and Materials, co-published with Springer",English,Hybrid (Open Choice),,CC BY,"Materials Science","Dilger, Julia"
Emergency Radiology,10140,1070-3004,1438-1435,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Pinero, Marlon"
"Emission Control Science and Technology",40825,2199-3629,2199-3637,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Estela, Noriel"
Empirica,10663,0340-8744,1573-6911,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Ramanathan, Elangovan"
Empirical Economics,181,0377-7332,1435-8921,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Manoharan, Suganya"
Empirical Software Engineering,10664,1382-3256,1573-7616,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Nieves, Jona Rose Delos"
"Employee Responsibilities and Rights Journal",10672,0892-7545,1573-3378,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Gramatica, Rosario"
Endocrine,12020,,1559-0100,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Panneerselvam, Prathap"
Endocrine Pathology,12022,1046-3976,1559-0097,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Gerona, Razel"
"Energy, Ecology and Environment",40974,,2363-8338,"Joint Center on Global Change and Earth System Science of the University of Maryland and Beijing Normal University, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Energy,"Ganesan, Remya"
Energy Efficiency,12053,1570-646X,1570-6478,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Mercullo, Kenneth"
Energy Systems,12667,1868-3967,1868-3975,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Weigel, Thomas"
Engineering with Computers,366,0177-0667,1435-5663,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Reddy, Srikanth"
English Teaching & Learning,42321,1023-7267,2522-8560,Springer,English,Hybrid (Open Choice),Take-over in 2018.,CC BY,Education,"Rentmeester, Esther"
Entrepreneurship Education,41959,2520-8144,2520-8152,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,Education,"Gotzmann, Volker"
"Environment, Development and Sustainability",10668,1387-585X,1573-2975,Springer,English,Hybrid (Open Choice),,CC BY,Environment,"Parasuraman, Baskaran"
"Environment Systems and Decisions",10669,2194-5403,2194-5411,Springer,English,Hybrid (Open Choice),,CC BY,Environment,"Panneerselvam, Prathap"
Environmental Biology of Fishes,10641,0378-1909,1573-5133,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Parcon, Jennyca"
Environmental Chemistry Letters,10311,1610-3653,1610-3661,Springer,English,Hybrid (Open Choice),,CC BY,Environment,"Faber, Meertinus"
Environmental Earth Sciences,12665,1866-6280,1866-6299,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Reddy, Srikanth"
"Environmental and Ecological Statistics",10651,1352-8505,1573-3009,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Sathish, Malathi"
"Environmental Economics and Policy Studies",10018,1432-847X,1867-383X,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Stella, Angeline"
Environmental Fluid Mechanics,10652,1567-7419,1573-1510,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Selvaraj, Devi"
"Environmental Geochemistry and Health",10653,0269-4042,1573-2983,Springer,English,Hybrid (Open Choice),,CC BY,Environment,"Govindaraju, Karthick"
Environmental Management,267,0364-152X,1432-1009,Springer,English,Hybrid (Open Choice),,CC BY,Environment,"Nagaraj, Govind"
"Environmental Modeling & Assessment",10666,1420-2026,1573-2967,Springer,English,Hybrid (Open Choice),,CC BY,Environment,"Boy Cutamora, Barney"
"Environmental Monitoring and Assessment",10661,0167-6369,1573-2959,Springer,English,Hybrid (Open Choice),,CC BY,Environment,"Jolbot, Michelle"
Environmental Processes,40710,2198-7491,2198-7505,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Mercullo, Kenneth"
"Environmental and Resource Economics",10640,0924-6460,1573-1502,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Franco, Frank"
"Environmental Science and Pollution Research",11356,0944-1344,1614-7499,Springer,English,Hybrid (Open Choice),,CC BY,Environment,"Villahermosa, Dennis"
Environmental Sustainability,42398,,2523-8922,Springer,English,Hybrid (Open Choice),New Start in 2018.,CC BY,Environment,"Hart, Kerstin"
EPMA Journal,13167,1878-5077,1878-5085,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Rentmeester, Esther"
ERA Forum,12027,1612-3093,1863-9038,Springer,English,Hybrid (Open Choice),,CC BY,Law,"Vogel, Andreas"
Erkenntnis,10670,0165-0106,1572-8420,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Arcot, Shrivatsan"
Erwerbs-Obstbau,10341,0014-0309,1439-0302,Springer,German,Hybrid (Open Choice),,CC BY,Life Sciences,"Häseler, Angelika"
Esophagus,10388,1612-9059,1612-9067,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Stella, Angeline"
Estuaries and Coasts,12237,1559-2723,1559-2731,Springer,English,Hybrid (Open Choice),,CC BY,Environment,"Borgenicht, Jodi"
"Ethics and Information Technology",10676,1388-1957,1572-8439,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Govindaraju, Karthick"
Ethik in der Medizin,481,0935-7335,1437-1618,Springer,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Muenzenmayer, Klaus"
Euphytica,10681,0014-2336,1573-5060,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Pieren, Eric"
Eurasian Business Review,40821,,2147-4281,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Dilger, Julia"
Eurasian Economic Review,40822,,2147-429X,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Dilger, Julia"
"EURO Journal on Computational Optimization",13675,2192-4406,2192-4414,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Weigel, Thomas"
"EURO Journal on Decision Processes",40070,2193-9438,2193-9446,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Ahmed, Sadat"
"EURO Journal on Transportation and Logistics",13676,2192-4376,2192-4384,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Weigel, Thomas"
"Euro-Mediterranean Journal for Environmental Integration",41207,2365-6433,2365-7448,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Dimler, Gertrud"
European Actuarial Journal,13385,2190-9733,2190-9741,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Dharmalingam, Shivaraman"
"European Archives of Oto-Rhino- Laryngology",405,0937-4477,1434-4726,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Dharmalingam, Shivaraman"
"European Archives of Paediatric Dentistry",40368,1818-6300,1996-9805,Springer,English,Hybrid (Open Choice),,CC BY,Dentistry,"Roseveare, David"
"European Archives of Psychiatry and Clinical Neuroscience",406,0940-1334,1433-8491,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Pappichetty, Jayaprakash"
European Biophysics Journal,249,0175-7571,1432-1017,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Ramanathan, Elangovan"
"European Business Organization Law Review",40804,1566-7529,1741-6205,Springer,English,Hybrid (Open Choice),,CC BY,Law,"Vogel, Andreas"
"European Child & Adolescent Psychiatry",787,1018-8827,1435-165X,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Verma, Priya"
"European Food Research and Technology",217,1438-2377,1438-2385,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Verma, Priya"
European Geriatric Medicine,41999,,1878-7657,Springer,English,Hybrid (Open Choice),Take-over in 2018.,CC BY,"Medicine & Public Health","Jung, Amelie"
European Journal of Ageing,10433,1613-9372,1613-9380,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Arcot, Shrivatsan"
"European Journal of Applied Physiology",421,1439-6319,1439-6327,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Sureshkumar, Deepika"
"European Journal of Clinical Microbiology & Infectious Diseases",10096,0934-9723,1435-4373,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Chavez, Shiela"
"European Journal of Clinical Pharmacology",228,0031-6970,1432-1041,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Villahermosa, Dennis"
"European Journal on Criminal Policy and Research",10610,0928-1371,1572-9869,Springer,English,Hybrid (Open Choice),,CC BY,"Criminology and Criminal Justice","Villahermosa, Aimee"
European Journal of Epidemiology,10654,0393-2990,1573-7284,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Somasundaram, Aravind"
"European Journal of Forest Research",10342,1612-4669,1612-4677,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Somasundaram, Aravind"
"The European Journal of Health Economics",10198,1618-7598,1618-7601,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Govindaswamy, Muralidaran"
"European Journal of Law and Economics",10657,0929-1261,1572-9990,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Mani, Lavanya"
European Journal of Mathematics,40879,2199-675X,2199-6768,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Seidenfeld, David"
"European Journal of Nuclear Medicine and Molecular Imaging",259,1619-7070,1619-7089,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Badon, Journaliz"
European Journal of Nutrition,394,1436-6207,1436-6215,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Chinnasamy, Sathishkumar"
"European Journal of Orthopaedic Surgery & Traumatology",590,,1432-1068,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Sundaram, Anburaj"
"European Journal for Philosophy of Science",13194,,1879-4920,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Parcon, Jennyca"
"European Journal of Plant Pathology",10658,0929-1873,1573-8469,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Dixit, Amit"
"European Journal of Plastic Surgery",238,0930-343X,1435-0130,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Badon, Journaliz"
European Journal of Population,10680,0168-6577,1572-9885,Springer,English,Hybrid (Open Choice),,CC BY,Social Sciences,"Klijn, Marielle"
"European Journal of Psychology of Education",10212,0256-2928,1878-5174,Springer,English,Hybrid (Open Choice),,CC BY,Education,"Macajelos, Juvy"
"European Journal for Security Research",41125,2365-0931,2365-1695,Springer,English,Hybrid (Open Choice),,CC BY,Law,"Dilger, Julia"
"European Journal of Trauma and Emergency Surgery",68,1863-9933,1863-9941,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Muenzenmayer, Klaus"
"European Journal of Wildlife Research",10344,1612-4642,1439-0574,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Badon, Journaliz"
"European Journal of Wood and Wood Products",107,0018-3768,1436-736X,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Kuebler, Andrea"
The European Physical Journal A,10050,1434-6001,1434-601X,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Schüller, Bernhard"
The European Physical Journal B,10051,1434-6028,1434-6036,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Schüller, Bernhard"
The European Physical Journal D,10053,1434-6060,1434-6079,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Schüller, Bernhard"
The European Physical Journal E,10189,1292-8941,1292-895X,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Schüller, Bernhard"
The European Physical Journal H,13129,2102-6459,2102-6467,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Schüller, Bernhard"
"The European Physical Journal Plus",13360,,2190-5444,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Schüller, Bernhard"
"The European Physical Journal Special Topics",11734,1951-6355,1951-6401,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Schüller, Bernhard"
European Radiology,330,0938-7994,1432-1084,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Jung, Amelie"
European Spine Journal,586,0940-6719,1432-0932,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Bala, Senthil"
European Surgery,10353,1682-8631,1682-4016,SpringerMedizin,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Häseler, Angelika"
Evolutionary Biology,11692,0071-3260,1934-2845,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Inbasigamoni, Velmuguran"
Evolutionary Ecology,10682,0269-7653,1573-8477,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Selvaraj, Ambiga"
"Evolutionary and Institutional Economics Review",40844,1349-4961,2188-2096,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Stella, Angeline"
Evolutionary Intelligence,12065,,1864-5917,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Namperumal, Citra"
"Evolutionary Psychological Science",40806,,2198-9885,Springer,English,Hybrid (Open Choice),,CC BY,Psychology,"Duning, Renante"
Evolving Systems,12530,1868-6478,1868-6486,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Namperumal, Citra"
"Experimental and Applied Acarology",10493,0168-8162,1572-9702,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Lichtveld, Pauline"
Experimental Astronomy,10686,0922-6435,1572-9508,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Mercullo, Kenneth"
Experimental Brain Research,221,0014-4819,1432-1106,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Ahmed, Sadat"
Experimental Economics,10683,1386-4157,1573-6938,Springer,English,Hybrid (Open Choice),,CC BY,Economics,"Dixit, Amit"
Experimental Mechanics,11340,0014-4851,1741-2765,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Weaver, Janice"
Experimental Techniques,40799,0732-8818,1747-1567,Springer,English,Hybrid (Open Choice),,CC BY,"Materials Science","Weaver, Janice"
Experiments in Fluids,348,0723-4864,1432-1114,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Varghese, Beulah"
Exposure and Health,12403,,2451-9685,Springer,English,Hybrid (Open Choice),,CC BY,Environment,"Dixit, Amit"
Extremes,10687,1386-1999,1572-915X,Springer,English,Hybrid (Open Choice),,CC BY,Statistics,"Nieves, Jona Rose Delos"
Extremophiles,792,1431-0651,1433-4909,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Dayanand, Antony"
Facies,10347,0172-9179,1612-4820,Springer,English,Hybrid (Open Choice),,CC BY,Earth Sciences,"Reddy, Srikanth"
Familial Cancer,10689,1389-9600,1573-7292,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Parasuraman, Baskaran"
Few-Body Systems,601,0177-7963,1432-5411,Springer,English,Hybrid (Open Choice),,CC BY,Physics,"Singh, Albert"
Fibers and Polymers,12221,1229-9197,1875-0052,"The Korean Fiber Society, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Chemistry,"Gotzmann, Volker"
Finance and Stochastics,780,0949-2984,1432-1122,Springer,English,Hybrid (Open Choice),,CC BY,Mathematics,"Vloemans, Hermine"
"Financial Markets and Portfolio Management",11408,1934-4554,2373-8529,Springer,English,Hybrid (Open Choice),,CC BY,"Business and Management","Namperumal, Citra"
Fire Technology,10694,0015-2684,1572-8099,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Pesala, Nandhini"
Fish Physiology and Biochemistry,10695,0920-1742,1573-5168,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Boy Cutamora, Barney"
Fisheries Science,12562,0919-9268,1444-2906,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Dayanand, Antony"
"Flexible Services and Manufacturing Journal",10696,1936-6582,1936-6590,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Sathish, Malathi"
"Flow, Turbulence and Combustion",10494,1386-6184,1573-1987,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Lazar, Margit"
Folia Geobotanica,12224,1211-9520,1874-9348,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Lazar, Margit"
Folia Microbiologica,12223,0015-5632,1874-9356,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Macajelos, Juvy"
Food Analytical Methods,12161,,1936-976X,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Pis-an, Maria Cathelyn"
Food Biophysics,11483,1557-1858,1557-1866,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Pis-an, Maria Cathelyn"
Food and Bioprocess Technology,11947,,1935-5149,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Bascon, Yvette"
Food Engineering Reviews,12393,,1866-7929,Springer,English,Hybrid (Open Choice),,CC BY,Chemistry,"Icamen, Eurica Mae"
Food and Environmental Virology,12560,,1867-0342,Springer,English,Hybrid (Open Choice),,CC BY,Biomedicine,"Raj, Vatsala"
Food Ethics,41055,2364-6853,2364-6861,Springer,English,Hybrid (Open Choice),,CC BY,Philosophy,"Faber, Meertinus"
Food Science and Biotechnology,10068,1226-7708,2092-6456,"The Korean Society of Food Science and Technology, co- published with Springer",English,Hybrid (Open Choice),,CC BY,Chemistry,"Sekar, Anu"
Food Security,12571,1876-4517,1876-4525,Springer,English,Hybrid (Open Choice),,CC BY,Life Sciences,"Macajelos, Juvy"
"Forensic Science, Medicine and Pathology",12024,1547-769X,1556-2891,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Icamen, Eurica Mae"
Forensic Toxicology,11419,1860-8965,1860-8973,Springer,English,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Babu, Saravanan"
"Forensische Psychiatrie, Psychologie, Kriminologie",11757,1862-7072,1862-7080,Springer,German,Hybrid (Open Choice),,CC BY,"Medicine & Public Health","Muenzenmayer, Klaus"
Formal Aspects of Computing,165,0934-5043,1433-299X,Springer,English,Hybrid (Open Choice),,CC BY,"Computer Science","Uhl, Beate"
Formal Methods in System Design,10703,0925-9856,1572-8102,Springer,English,Hybrid (Open Choice),,CC BY,Engineering,"Klijn, Marielle"
Forschung im Ingenieurwesen,10010,0015-7899,1434-0860,Springer Vieweg,German,Hybrid (Open Choice),,CC BY,Engineering,"Dimler, Gertrud"
