Title,Format,product_id,ISSN print,ISSN electronic,Imprint,Primary Language,Vols Qty,Scheduled Vol Nos,Single Issues per volume,Open Access,Comment
Economic Change and Restructuring,PE OF,10644,1573-9414,1574-0277,Springer,English,1,52,4,Hybrid (Open Choice),
Economic Theory,PE OF,199,0938-2259,1432-0479,Springer,English,2,67-68,4,Hybrid (Open Choice),
Economic Theory Bulletin,E OF S,40505,,2196-1093,Springer,English,1,7,2,Hybrid (Open Choice),
Economics of Disasters and Climate Change,PE,41885,2511-1280,2511-1299,Springer,English,1,3,3,Hybrid (Open Choice),
Economics of Governance,PE OF,10101,1435-6104,1435-8131,Springer,English,1,20,4,Hybrid (Open Choice),
Ecosystems,PE OF S,10021,1432-9840,1435-0629,Springer,English,1,22,8,Hybrid (Open Choice),
Ecotoxicology,PE,10646,0963-9292,1573-3017,Springer,English,1,28,10,Hybrid (Open Choice),
Education and Information Technologies,PE OF,10639,1360-2357,1573-7608,Springer,English,1,24,6,Hybrid (Open Choice),
"Educational Assessment, Evaluation and Accountability",PE OF,11092,1874-8597,1874-8600,Springer,English,1,31,4,Hybrid (Open Choice),
Educational Psychology Review,PE OF,10648,1040-726X,1573-336X,Springer,English,1,31,4,Hybrid (Open Choice),
Educational Research for Policy and Practice,PE OF,10671,1570-2081,1573-1723,Springer,English,1,18,3,Hybrid (Open Choice),
Educational Studies in Mathematics,PE OF,10649,0013-1954,1573-0816,Springer,English,3,100-102,3,Hybrid (Open Choice),
Educational Technology Research and Development,PE OF,11423,1042-1629,1556-6501,Springer,English,1,67,6,Hybrid (Open Choice),
Electrical Engineering,PE OF,202,0948-7921,1432-0487,Springer,English,1,101,4,Hybrid (Open Choice),
Electrocatalysis,PE OF,12678,1868-2529,1868-5994,Springer,English,1,10,6,Hybrid (Open Choice),
Electrochemical Energy Reviews,PE OF,41918,2520-8489,2520-8136,"Shanghai University, co-published with Springer",English,1,2,4,Hybrid (Open Choice),"New Start in 2018. Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide."
Electronic Commerce Research,PE OF,10660,1389-5753,1572-9362,Springer,English,1,19,4,Hybrid (Open Choice),
Electronic Markets,PE OF,12525,1019-6781,1422-8890,Springer,English,1,29,4,Hybrid (Open Choice),
Electronic Materials Letters,PE,13391,1738-8090,2093-6788,"The Korean Institute of Metals and Materials, co-published with Springer",English,1,15,6,Hybrid (Open Choice),
Emergency Radiology,PE OF S,10140,1070-3004,1438-1435,Springer,English,1,26,6,Hybrid (Open Choice),
Emergent Materials,PE OF S,42247,2522-5731,2522-574X,Springer,English,1,2,4,Hybrid (Open Choice),New Start in 2018. . 
Emission Control Science and Technology,PE OF S,40825,2199-3629,2199-3637,Springer,English,1,5,4,Hybrid (Open Choice),
Empirica,PE OF,10663,0340-8744,1573-6911,Springer,English,1,46,4,Hybrid (Open Choice),
Empirical Economics,PE OF S,181,0377-7332,1435-8921,Springer,English,2,56-57,6,Hybrid (Open Choice),
Empirical Software Engineering,PE OF,10664,1382-3256,1573-7616,Springer,English,1,24,6,Hybrid (Open Choice),
Employee Responsibilities and Rights Journal,PE OF,10672,0892-7545,1573-3378,Springer,English,1,31,4,Hybrid (Open Choice),
Endocrine,E OF,12020,,1559-0100,Springer,English,4,63-66,3,Hybrid (Open Choice),
Endocrine Pathology,PE OF S,12022,1046-3976,1559-0097,Springer,English,1,30,4,Hybrid (Open Choice),
"Energy, Ecology and Environment",E OF,40974,,2363-8338,"Joint Center on Global Change and Earth System Science of the University of Maryland and Beijing Normal University, co-published with Springer",English,1,4,6,Hybrid (Open Choice),Chinese Library of Science. Available in electronic format only. 
Energy Efficiency,PE OF S,12053,1570-646X,1570-6478,Springer,English,1,12,8,Hybrid (Open Choice),
Energy Systems,PE OF,12667,1868-3967,1868-3975,Springer,English,1,10,4,Hybrid (Open Choice),
Engineering with Computers,PE OF,366,0177-0667,1435-5663,Springer,English,1,35,4,Hybrid (Open Choice),
English Teaching & Learning,PE,42321,1023-7267,2522-8560,Springer,English,1,43,4,Hybrid (Open Choice),Take-over in 2018. Former publisher: Airiti Press Inc.
Entrepreneurship Education,PE OF,41959,2520-8144,2520-8152,Springer,English,1,2,4,Hybrid (Open Choice),New Start in 2018. 
"Environment, Development and Sustainability",PE,10668,1387-585X,1573-2975,Springer,English,1,21,6,Hybrid (Open Choice),
Environment Systems and Decisions,PE,10669,2194-5403,2194-5411,Springer,English,1,39,4,Hybrid (Open Choice),
Environmental Biology of Fishes,PE OF S,10641,0378-1909,1573-5133,Springer,English,1,102,12,Hybrid (Open Choice),
Environmental Chemistry Letters,PE OF S,10311,1610-3653,1610-3661,Springer,English,1,17,4,Hybrid (Open Choice),
Environmental Earth Sciences,PE S C,12665,1866-6280,1866-6299,Springer,English,1,78,24,Hybrid (Open Choice),Erratum Journals List: Price amendment. 
Environmental and Ecological Statistics,PE,10651,1352-8505,1573-3009,Springer,English,1,26,4,Hybrid (Open Choice),
Environmental Economics and Policy Studies,PE OF,10018,1432-847X,1867-383X,Springer,English,1,21,4,Hybrid (Open Choice),
Environmental Fluid Mechanics,PE,10652,1567-7419,1573-1510,Springer,English,1,19,6,Hybrid (Open Choice),
Environmental Geochemistry and Health,PE OF S,10653,0269-4042,1573-2983,Springer,English,1,41,6,Hybrid (Open Choice),
Environmental Management,PE,267,0364-152X,1432-1009,Springer,English,2,63-64,6,Hybrid (Open Choice),
Environmental Modeling & Assessment,PE OF S,10666,1420-2026,1573-2967,Springer,English,1,24,6,Hybrid (Open Choice),
Environmental Monitoring and Assessment,PE S C,10661,0167-6369,1573-2959,Springer,English,1,191,12,Hybrid (Open Choice),
Environmental Processes,PE OF,40710,2198-7491,2198-7505,Springer,English,1,6,4,Hybrid (Open Choice),
Environmental and Resource Economics,PE OF,10640,0924-6460,1573-1502,Springer,English,3,72-74,4,Hybrid (Open Choice),
Environmental Science and Pollution Research,PE OF S,11356,0944-1344,1614-7499,Springer,English,1,26,36,Hybrid (Open Choice),
Environmental Sustainability,E,42398,,2523-8922,Springer,English,1,2,4,Hybrid (Open Choice),New Start in 2018. Available in electronic format only. 
EPMA Journal,PE,13167,1878-5077,1878-5085,Springer,English,1,10,4,Hybrid (Open Choice),
ERA Forum,PE OF,12027,1612-3093,1863-9038,Springer,English,1,20,4,Hybrid (Open Choice),
Erkenntnis,PE OF,10670,0165-0106,1572-8420,Springer,English,1,84,6,Hybrid (Open Choice),
Erwerbs-Obstbau,PE OF,10341,0014-0309,1439-0302,Springer,German,1,61,4,Hybrid (Open Choice),
Esophagus,PE OF S,10388,1612-9059,1612-9067,Springer,English,1,16,4,Hybrid (Open Choice),
Estuaries and Coasts,PE OF S,12237,1559-2723,1559-2731,Springer,English,1,42,8,Hybrid (Open Choice),
Ethical Theory and Moral Practice,PE OF,10677,1386-2820,1572-8447,Springer,English,1,22,5,Hybrid (Open Choice),
Ethics and Information Technology,PE OF,10676,1388-1957,1572-8439,Springer,English,1,21,4,Hybrid (Open Choice),
Ethik in der Medizin,PE OF S,481,0935-7335,1437-1618,Springer,German,1,31,4,Hybrid (Open Choice),
Euphytica,PE S C,10681,0014-2336,1573-5060,Springer,English,1,215,12,Hybrid (Open Choice),
Eurasian Business Review,E OF,40821,,2147-4281,Springer,English,1,9,4,Hybrid (Open Choice),Available in electronic format only. 
Eurasian Economic Review,E OF,40822,,2147-429X,Springer,English,1,9,4,Hybrid (Open Choice),Available in electronic format only. 
EURO Journal on Computational Optimization,PE OF S,13675,2192-4406,2192-4414,Springer,English,1,7,4,Hybrid (Open Choice),
EURO Journal on Decision Processes,PE OF,40070,2193-9438,2193-9446,Springer,English,1,7,4,Hybrid (Open Choice),
EURO Journal on Transportation and Logistics,PE OF S,13676,2192-4376,2192-4384,Springer,English,1,8,4,Hybrid (Open Choice),
Euro-Mediterranean Journal for Environmental Integration,PE S C,41207,2365-6433,2365-7448,Springer,English,1,4,1,Hybrid (Open Choice),
European Actuarial Journal,PE OF S,13385,2190-9733,2190-9741,Springer,English,1,9,2,Hybrid (Open Choice),
European Archives of Oto-Rhino-Laryngology,PE OF S,405,0937-4477,1434-4726,Springer,English,1,276,12,Hybrid (Open Choice),
European Archives of Paediatric Dentistry,PE OF S,40368,1818-6300,1996-9805,Springer,English,1,20,6,Hybrid (Open Choice),
European Archives of Psychiatry and Clinical Neuroscience,PE OF S,406,0940-1334,1433-8491,Springer,English,1,269,8,Hybrid (Open Choice),
European Biophysics Journal,PE OF S,249,0175-7571,1432-1017,Springer,English,1,48,8,Hybrid (Open Choice),
European Business Organization Law Review,PE OF,40804,1566-7529,1741-6205,Springer,English,1,20,4,Hybrid (Open Choice),
European Child & Adolescent Psychiatry,PE OF S,787,1018-8827,1435-165X,Springer,English,1,28,12,Hybrid (Open Choice),
European Food Research and Technology,PE OF,217,1438-2377,1438-2385,Springer,English,1,245,12,Hybrid (Open Choice),
European Geriatric Medicine,E OF S,41999,,1878-7657,Springer,English,1,10,6,Hybrid (Open Choice),Take-over in 2018. Former publisher: Elsevier. Available in electronic format only. 
European Journal of Ageing,PE OF,10433,1613-9372,1613-9380,Springer,English,1,16,4,Hybrid (Open Choice),
European Journal of Applied Physiology,PE OF S,421,1439-6319,1439-6327,Springer,English,1,119,12,Hybrid (Open Choice),
European Journal of Clinical Microbiology & Infectious Diseases,PE OF S,10096,0934-9723,1435-4373,Springer,English,1,38,12,Hybrid (Open Choice),
European Journal of Clinical Nutrition,PE,41430,0954-3007,1476-5640,Springer Nature,English,1,73,12,Hybrid (Open Choice),Online version only available through an institutional license. 
European Journal of Clinical Pharmacology,PE OF S,228,0031-6970,1432-1041,Springer,English,1,75,12,Hybrid (Open Choice),
European Journal on Criminal Policy and Research,PE OF S,10610,0928-1371,1572-9869,Springer,English,1,25,4,Hybrid (Open Choice),
The European Journal of Development Research,PE OF,41287,0957-8811,1743-9728,Palgrave Macmillan,English,1,31,5,Hybrid (Open Choice),Online version only available through an institutional license. 
European Journal of Drug Metabolism and Pharmacokinetics,PE OF,13318,0378-7966,2107-0180,Adis,English,1,44,12,Hybrid (Open Choice),
European Journal of Epidemiology,PE OF,10654,0393-2990,1573-7284,Springer,English,1,34,12,Hybrid (Open Choice),
European Journal of Forest Research,PE OF,10342,1612-4669,1612-4677,Springer,English,1,138,6,Hybrid (Open Choice),
The European Journal of Health Economics,PE OF S,10198,1618-7598,1618-7601,Springer,English,1,20,9,Hybrid (Open Choice),
European Journal of Human Genetics,PE,41431,1018-4813,1476-5438,Springer Nature,English,1,27,12,Hybrid (Open Choice),Online version only available through an institutional license. 
European Journal of Law and Economics,PE OF,10657,0929-1261,1572-9990,Springer,English,2,47-48,3,Hybrid (Open Choice),
European Journal of Mathematics,PE,40879,2199-675X,2199-6768,Springer,English,1,5,4,Hybrid (Open Choice),
European Journal of Nuclear Medicine and Molecular Imaging,PE OF S,259,1619-7070,1619-7089,Springer,English,1,46,13,Hybrid (Open Choice),
European Journal of Nutrition,PE OF S,394,1436-6207,1436-6215,Springer,English,1,58,8,Hybrid (Open Choice),
European Journal of Orthopaedic Surgery & Traumatology,E OF S,590,,1432-1068,Springer,English,1,29,8,Hybrid (Open Choice),
European Journal of Pediatrics,PE OF S,431,0340-6199,1432-1076,Springer,English,1,178,12,Hybrid (Open Choice),
European Journal for Philosophy of Science,PE C,13194,,1879-4920,Springer,English,1,9,3,Hybrid (Open Choice),
European Journal of Plant Pathology,PE OF S,10658,0929-1873,1573-8469,Springer,English,3,153-155,4,Hybrid (Open Choice),
European Journal of Plastic Surgery,PE OF S,238,0930-343X,1435-0130,Springer,English,1,42,6,Hybrid (Open Choice),
European Journal of Population,PE OF,10680,0168-6577,1572-9885,Springer,English,1,35,5,Hybrid (Open Choice),
European Journal of Psychology of Education,PE OF,10212,0256-2928,1878-5174,Springer,English,1,34,4,Hybrid (Open Choice),
European Journal for Security Research,PE OF,41125,2365-0931,2365-1695,Springer,English,1,4,2,Hybrid (Open Choice),
European Journal of Trauma and Emergency Surgery,PE OF S,68,1863-9933,1863-9941,Springer,English,1,45,6,Hybrid (Open Choice),
European Journal of Wildlife Research,PE S C,10344,1612-4642,1439-0574,Springer,English,1,65,6,Hybrid (Open Choice),
European Journal of Wood and Wood Products,PE OF,107,0018-3768,1436-736X,Springer,English,1,77,6,Hybrid (Open Choice),
The European Physical Journal A,PE S C,10050,1434-6001,1434-601X,Springer,English,1,55,12,Hybrid (Open Choice),
The European Physical Journal B,PE S C,10051,1434-6028,1434-6036,Springer,English,1,92,12,Hybrid (Open Choice),
The European Physical Journal D,PE S C,10053,1434-6060,1434-6079,Springer,English,1,73,12,Hybrid (Open Choice),
The European Physical Journal E,PE S C,10189,1292-8941,1292-895X,Springer,English,1,42,12,Hybrid (Open Choice),
The European Physical Journal H,PE OF,13129,2102-6459,2102-6467,Springer,English,1,44,5,Hybrid (Open Choice),
The European Physical Journal Plus,E S C,13360,,2190-5444,Springer,English,1,134,12,Hybrid (Open Choice),
The European Physical Journal Special Topics,PE OF S,11734,1951-6355,1951-6401,Springer,English,1,228,12,Hybrid (Open Choice),
European Political Science,PE OF,41304,1680-4333,1682-0983,Palgrave Macmillan,English,1,18,4,Hybrid (Open Choice),Online version only available through an institutional license. 
European Radiology,PE OF S,330,0938-7994,1432-1084,Springer,English,1,29,12,Hybrid (Open Choice),
European Spine Journal,PE OF S,586,0940-6719,1432-0932,Springer,English,1,28,12,Hybrid (Open Choice),
European Surgery,PE OF,10353,1682-8631,1682-4016,SpringerMedizin,English,1,51,6,Hybrid (Open Choice),Special price for postage & handling for customers in Austria. 
Evolutionary Biology,PE OF S,11692,0071-3260,1934-2845,Springer,English,1,46,4,Hybrid (Open Choice),
Evolutionary Ecology,PE OF,10682,0269-7653,1573-8477,Springer,English,1,33,6,Hybrid (Open Choice),
Evolutionary and Institutional Economics Review,PE OF S,40844,1349-4961,2188-2096,Springer,English,1,16,2,Hybrid (Open Choice),
Evolutionary Intelligence,E OF S,12065,,1864-5917,Springer,English,1,12,4,Hybrid (Open Choice),
Evolutionary Psychological Science,E OF S,40806,,2198-9885,Springer,English,1,5,4,Hybrid (Open Choice),Available in electronic format only. 
Evolving Systems,PE OF,12530,1868-6478,1868-6486,Springer,English,1,10,4,Hybrid (Open Choice),
Experimental and Applied Acarology,PE OF S,10493,0168-8162,1572-9702,Springer,English,3,77-79,4,Hybrid (Open Choice),
Experimental Astronomy,PE OF S,10686,0922-6435,1572-9508,Springer,English,2,47-48,3,Hybrid (Open Choice),
Experimental Brain Research,PE OF S,221,0014-4819,1432-1106,Springer,English,1,237,12,Hybrid (Open Choice),
Experimental Economics,PE OF,10683,1386-4157,1573-6938,Springer,English,1,22,4,Hybrid (Open Choice),
Experimental Mechanics,PE OF,11340,0014-4851,1741-2765,Springer,English,1,59,9,Hybrid (Open Choice),
Experimental Techniques,PE,40799,0732-8818,1747-1567,Springer,English,1,43,6,Hybrid (Open Choice),
Experiments in Fluids,PE S C,348,0723-4864,1432-1114,Springer,English,1,60,12,Hybrid (Open Choice),
Exposure and Health,E OF,12403,,2451-9685,Springer,English,1,11,4,Hybrid (Open Choice),
Extremes,PE OF,10687,1386-1999,1572-915X,Springer,English,1,22,4,Hybrid (Open Choice),
Extremophiles,PE OF S,792,1431-0651,1433-4909,Springer,English,1,23,6,Hybrid (Open Choice),
Eye,PE,41433,0950-222X,1476-5454,Springer Nature,English,1,33,12,Hybrid (Open Choice),Online version only available through an institutional license. 
Facies,PE S C,10347,0172-9179,1612-4820,Springer,English,1,65,4,Hybrid (Open Choice),
Familial Cancer,PE OF,10689,1389-9600,1573-7292,Springer,English,1,18,4,Hybrid (Open Choice),
Feminist Legal Studies,PE OF,10691,0966-3622,1572-8455,Springer,English,1,27,3,Hybrid (Open Choice),
Few-Body Systems,PE C,601,0177-7963,1432-5411,Springer,English,1,60,4,Hybrid (Open Choice),
Fibers and Polymers,PE OF,12221,1229-9197,1875-0052,"The Korean Fiber Society, co-published with Springer",English,1,20,12,Hybrid (Open Choice),
Finance and Stochastics,PE OF S,780,0949-2984,1432-1122,Springer,English,1,23,4,Hybrid (Open Choice),
Financial Markets and Portfolio Management,PE OF,11408,1934-4554,2373-8529,Springer,English,1,33,4,Hybrid (Open Choice),
Fire Technology,PE OF,10694,0015-2684,1572-8099,Springer,English,1,55,6,Hybrid (Open Choice),
Fish Physiology and Biochemistry,PE OF,10695,0920-1742,1573-5168,Springer,English,1,45,6,Hybrid (Open Choice),
Fisheries Science,PE OF S,12562,0919-9268,1444-2906,Springer,English,1,85,6,Hybrid (Open Choice),
Flexible Services and Manufacturing Journal,PE OF,10696,1936-6582,1936-6590,Springer,English,1,31,4,Hybrid (Open Choice),
"Flow, Turbulence and Combustion",PE OF S,10494,1386-6184,1573-1987,Springer,English,2,102-103,4,Hybrid (Open Choice),
Folia Geobotanica,PE OF,12224,1211-9520,1874-9348,Springer,English,1,54,4,Hybrid (Open Choice),
Folia Microbiologica,PE OF S,12223,0015-5632,1874-9356,Springer,English,1,64,6,Hybrid (Open Choice),
Food Analytical Methods,E OF,12161,,1936-976X,Springer,English,1,12,12,Hybrid (Open Choice),
Food Biophysics,PE OF,11483,1557-1858,1557-1866,Springer,English,1,14,4,Hybrid (Open Choice),
Food and Bioprocess Technology,E OF,11947,,1935-5149,Springer,English,1,12,12,Hybrid (Open Choice),
Food Engineering Reviews,E OF,12393,,1866-7929,Springer,English,1,11,4,Hybrid (Open Choice),
Food and Environmental Virology,E OF,12560,,1867-0342,Springer,English,1,11,4,Hybrid (Open Choice),
Food Ethics,PE OF,41055,2364-6853,2364-6861,Springer,English,1,4,2,Hybrid (Open Choice),
Food Science and Biotechnology,PE,10068,1226-7708,2092-6456,"The Korean Society of Food Science and Technology, co-published with Springer",English,1,28,6,Hybrid (Open Choice),
Food Security,PE OF S,12571,1876-4517,1876-4525,Springer,English,1,11,6,Hybrid (Open Choice),
"Forensic Science, Medicine and Pathology",PE OF S,12024,1547-769X,1556-2891,Springer,English,1,15,4,Hybrid (Open Choice),
Forensic Toxicology,PE OF S,11419,1860-8965,1860-8973,Springer,English,1,37,2,Hybrid (Open Choice),
"Forensische Psychiatrie, Psychologie, Kriminologie",PE OF S,11757,1862-7072,1862-7080,Springer,German,1,13,4,Hybrid (Open Choice),
Formal Aspects of Computing,PE OF,165,0934-5043,1433-299X,Springer,English,1,31,6,Hybrid (Open Choice),
Formal Methods in System Design,PE OF,10703,0925-9856,1572-8102,Springer,English,2,54-55,3,Hybrid (Open Choice),
Forschung im Ingenieurwesen,PE OF,10010,0015-7899,1434-0860,Springer Vieweg,German,1,83,4,Hybrid (Open Choice),
Forum der Psychoanalyse,PE OF S,451,0178-7667,1437-0751,SpringerMedizin,German,1,35,4,Hybrid (Open Choice),
Foundations of Chemistry,PE OF,10698,1386-4238,1572-8463,Springer,English,1,21,3,Hybrid (Open Choice),
Foundations of Computational Mathematics,PE OF,10208,1615-3375,1615-3383,Springer,English,1,19,6,Hybrid (Open Choice),
Foundations of Physics,PE OF,10701,0015-9018,1572-9516,Springer,English,1,49,12,Hybrid (Open Choice),
Foundations of Science,PE OF,10699,1233-1821,1572-8471,Springer,English,1,24,4,Hybrid (Open Choice),
French Politics,PE OF,41253,1476-3419,1476-3427,Palgrave Macmillan,English,1,17,4,Hybrid (Open Choice),Online version only available through an institutional license. 
Frontiers in Biology,PE OF,11515,1674-7984,1674-7992,"Higher Education Press, co-published with Springer",English,1,14,6,Hybrid (Open Choice),Chinese Library of Science. 
Frontiers of Chemical Science and Engineering,PE OF,11705,2095-0179,2095-0187,"Higher Education Press, co-published with Springer",English,1,13,4,Hybrid (Open Choice),Chinese Library of Science. 
Frontiers of Computer Science,PE OF,11704,2095-2228,2095-2236,"Higher Education Press, co-published with Springer",English,1,13,6,Hybrid (Open Choice),Chinese Library of Science. 
Frontiers of Earth Science,PE OF,11707,2095-0195,2095-0209,"Higher Education Press, co-published with Springer",English,1,13,4,Hybrid (Open Choice),Chinese Library of Science. 
Frontiers in Energy,PE OF,11708,2095-1701,2095-1698,"Higher Education Press, co-published with Springer",English,1,13,4,Hybrid (Open Choice),Chinese Library of Science. 
Frontiers of Environmental Science & Engineering,PE OF C,11783,2095-2201,2095-221X,"Higher Education Press, co-published with Springer",English,1,13,6,Hybrid (Open Choice),Chinese Library of Science. 
Frontiers of Information Technology & Electronic Engineering,PE OF,11714,2095-9184,2095-9230,"Zhejiang University Press, co-published with Springer",English,1,20,12,Hybrid (Open Choice),Chinese Library of Science. 
Frontiers of Mechanical Engineering,PE OF,11465,2095-0233,2095-0241,"Higher Education Press, co-published with Springer",English,1,14,4,Hybrid (Open Choice),Chinese Library of Science. 
Frontiers of Medicine,PE OF,11684,2095-0217,2095-0225,"Higher Education Press, co-published with Springer",English,1,13,6,Hybrid (Open Choice),Chinese Library of Science. 
Frontiers of Optoelectronics,PE OF,12200,2095-2759,2095-2767,"Higher Education Press, co-published with Springer",English,1,12,4,Hybrid (Open Choice),Chinese Library of Science. 
Frontiers of Physics,PE OF C,11467,2095-0462,2095-0470,"Higher Education Press, co-published with Springer",English,1,14,6,Hybrid (Open Choice),Chinese Library of Science. 
Frontiers of Structural and Civil Engineering,PE OF,11709,2095-2430,2095-2449,"Higher Education Press, co-published with Springer",English,1,13,4,Hybrid (Open Choice),Chinese Library of Science. 
Fudan Journal of the Humanities and Social Sciences,PE OF,40647,1674-0750,2198-2600,Springer,English,1,12,4,Hybrid (Open Choice),
Functional & Integrative Genomics,E OF S,10142,,1438-7948,Springer,English,1,19,6,Hybrid (Open Choice),
Fungal Diversity,PE OF,13225,1560-2745,1878-9129,Springer,English,6,94-99,1,Hybrid (Open Choice),
Fuzzy Optimization and Decision Making,PE OF,10700,1568-4539,1573-2908,Springer,English,1,18,4,Hybrid (Open Choice),
Gastric Cancer,PE OF S,10120,1436-3291,1436-3305,Springer,English,1,22,6,Hybrid (Open Choice),
Der Gastroenterologe,PE OF S,11377,1861-9681,1861-969X,SpringerMedizin,German,1,14,6,Hybrid (Open Choice),
Gefässchirurgie,PE OF S,772,0948-7034,1434-3932,SpringerMedizin,German,1,24,8,Hybrid (Open Choice),
GEM - International Journal on Geomathematics,PE OF S,13137,1869-2672,1869-2680,Springer,English,1,10,1,Hybrid (Open Choice),
Gender Issues,PE OF,12147,1098-092X,1936-4717,Springer,English,1,36,4,Hybrid (Open Choice),
Gene Therapy,PE,41434,0969-7128,1476-5462,Springer Nature,English,1,26,12,Hybrid (Open Choice),Online version only available through an institutional license. 
General Relativity and Gravitation,E S C,10714,,1572-9532,Springer,English,1,51,12,Hybrid (Open Choice),Print subscription no longer available. 
General Thoracic and Cardiovascular Surgery,PE OF S,11748,1863-6705,1863-6713,Springer,English,1,67,12,Hybrid (Open Choice),
Genes & Genomics,E OF,13258,,2092-9293,"The Genetics Society of Korea, co-published with Springer",English,1,41,12,Hybrid (Open Choice),
Genes & Immunity,E,41435,,1476-5470,Springer Nature,English,1,20,8,Hybrid (Open Choice),Online version only available through an institutional license. Available in electronic format only. 
Genetic Programming and Evolvable Machines,PE OF,10710,1389-2576,1573-7632,Springer,English,1,20,4,Hybrid (Open Choice),
Genetic Resources and Crop Evolution,PE OF S,10722,0925-9864,1573-5109,Springer,English,1,66,8,Hybrid (Open Choice),
Genetica,PE OF S,10709,0016-6707,1573-6857,Springer,English,1,147,6,Hybrid (Open Choice),
Genetics in Medicine,PE,41436,1098-3600,1530-0366,Springer Nature,English,1,21,12,Hybrid (Open Choice),Online version only available through an institutional license. 
The Geneva Papers on Risk and Insurance - Issues and Practice,PE OF,41288,1018-5895,1468-0440,Palgrave Macmillan,English,1,44,4,Hybrid (Open Choice),Online version only available through an institutional license. 
The Geneva Risk and Insurance Review,PE OF,10713,1554-964X,1554-9658,Palgrave Macmillan,English,1,44,2,Hybrid (Open Choice),Online version only available through an institutional license. 
Geoheritage,PE OF,12371,1867-2477,1867-2485,Springer,English,1,11,4,Hybrid (Open Choice),
GeoInformatica,PE OF,10707,1384-6175,1573-7624,Springer,English,1,23,4,Hybrid (Open Choice),
GeoJournal,PE OF,10708,0343-2521,1572-9893,Springer,English,1,84,6,Hybrid (Open Choice),
Geo-Marine Letters,PE OF S,367,0276-0460,1432-1157,Springer,English,1,39,6,Hybrid (Open Choice),
Geomechanics and Geophysics for Geo-Energy and Geo-Resources,PE OF,40948,2363-8419,2363-8427,Springer,English,1,5,4,Hybrid (Open Choice),
Geometriae Dedicata,PE OF,10711,0046-5755,1572-9168,Springer,English,6,198-203,1,Hybrid (Open Choice),
Geometric and Functional Analysis,PE OF,39,1016-443X,1420-8970,Birkhäuser,English,1,29,6,Hybrid (Open Choice),
Geotechnical and Geological Engineering,PE,10706,0960-3182,1573-1529,Springer,English,1,37,6,Hybrid (Open Choice),
German Journal of Exercise and Sport Research,PE OF,12662,2509-3142,2509-3150,Springer,English,1,49,4,Hybrid (Open Choice),
GeroScience,PE S,11357,2509-2715,2509-2723,Springer,English,1,41,6,Hybrid (Open Choice),
Gesunde Pflanzen,PE OF,10343,0367-4223,1439-0345,Springer,German,1,71,4,Hybrid (Open Choice),
Glass Structures & Engineering,PE OF S,40940,2363-5142,2363-5150,Springer,English,1,4,3,Hybrid (Open Choice),
Global Journal of Flexible Systems Management,PE OF,40171,0972-2696,0974-0198,Springer,English,1,20,4,Hybrid (Open Choice),
Global Social Welfare,E OF,40609,,2196-8799,Springer,English,1,6,4,Hybrid (Open Choice),Available in electronic format only. 
Glycoconjugate Journal,PE OF S,10719,0282-0080,1573-4986,Springer,English,1,36,6,Hybrid (Open Choice),
Gold Bulletin,PE OF S,13404,2364-821X,2190-7579,Springer,English,1,52,4,Hybrid (Open Choice),
GPS Solutions,PE OF C,10291,1080-5370,1521-1886,Springer,English,1,23,4,Hybrid (Open Choice),
Graefe's Archive for Clinical and Experimental Ophthalmology,PE OF S,417,0721-832X,1435-702X,Springer,English,1,257,12,Hybrid (Open Choice),
Granular Computing,PE OF,41066,2364-4966,2364-4974,Springer,English,1,4,4,Hybrid (Open Choice),
Granular Matter,PE S C,10035,1434-5021,1434-7636,Springer,English,1,21,4,Hybrid (Open Choice),
Graphene Technology,PE OF S,41127,2365-6301,2365-631X,Springer,English,1,4,4,Hybrid (Open Choice),
Graphs and Combinatorics,PE OF,373,0911-0119,1435-5914,Springer,English,1,35,6,Hybrid (Open Choice),
Group Decision and Negotiation,PE OF,10726,0926-2644,1572-9907,Springer,English,1,28,6,Hybrid (Open Choice),
Grundwasser,PE OF S,767,1430-483X,1432-1165,Springer,German,1,24,4,Hybrid (Open Choice),
Gruppe. Interaktion. Organisation. Zeitschrift für Angewandte Organisationspsychologie (GIO),PE OF S,11612,2366-6145,2366-6218,Springer,German,1,50,4,Hybrid (Open Choice),
Der Gynäkologe,PE OF S,129,0017-5994,1433-0393,SpringerMedizin,German,1,52,12,Hybrid (Open Choice),
Gynäkologische Endokrinologie,PE OF S,10304,1610-2894,1610-2908,SpringerMedizin,German,1,17,4,Hybrid (Open Choice),
Hague Journal on the Rule of Law,PE OF,40803,1876-4045,1876-4053,Springer,English,1,11,3,Hybrid (Open Choice),
Der Hautarzt,PE OF S,105,0017-8470,1432-1173,SpringerMedizin,German,1,70,12,Hybrid (Open Choice),
hautnah,PE OF,12326,1866-2250,2192-6484,SpringerMedizin,German,1,18,4,Hybrid (Open Choice),Erratum Journals List. Price amendment. Special price for postage & handling for customers in Austria. 
Head and Neck Pathology,E S,12105,,1936-0568,Springer,English,1,13,4,Hybrid (Open Choice),
Health Care Analysis,PE OF,10728,1065-3058,1573-3394,Springer,English,1,27,4,Hybrid (Open Choice),
Health Care Management Science,PE OF,10729,1386-9620,1572-9389,Springer,English,1,22,4,Hybrid (Open Choice),
